clump,Number of Adult Female Seals,Number of Baby Seals,Number of Adult Male Seals,Total Number of Seals
LS21323_DJI_0841_clump_0007,1,1,0,2
LS21323_DJI_0841_clump_0008,2,2,0,4
LS21323_DJI_0841_clump_0009,1,1,0,2
LS21323_DJI_0841_clump_0010,2,1,0,3
LS21323_DJI_0841_clump_0011,1,1,0,2
LS21323_DJI_0841_clump_0012,1,1,0,2
LS21323_DJI_0841_clump_0013,2,2,0,4
LS21323_DJI_0841_clump_0014,2,1,0,3
LS21323_DJI_0841_clump_0015,1,1,0,2
LS21323_DJI_0841_clump_0016,1,1,0,2
LS21323_DJI_0841_clump_0017,0,1,1,2
LS21323_DJI_0841_clump_0018,1,1,0,2
LS21323_DJI_0841_clump_0019,1,1,0,2
LS21323_DJI_0841_clump_0020,2,2,0,4
LS21323_DJI_0841_clump_0021,1,1,0,2
LS21323_DJI_0842_clump_0001,2,1,0,3
LS21323_DJI_0842_clump_0002,0,1,1,2
LS21323_DJI_0842_clump_0003,2,2,0,4
LS21323_DJI_0842_clump_0004,2,1,0,3
LS21323_DJI_0842_clump_0005,1,1,0,2
LS21323_DJI_0842_clump_0006,2,1,0,3
LS21323_DJI_0842_clump_0007,1,1,0,2
LS21323_DJI_0842_clump_0008,1,1,0,2
LS21323_DJI_0842_clump_0009,1,1,0,2
LS21323_DJI_0842_clump_0010,1,1,0,2
LS21323_DJI_0842_clump_0011,1,1,0,2
LS21323_DJI_0842_clump_0012,1,1,0,2
LS21323_DJI_0842_clump_0013,2,2,0,4
LS21323_DJI_0842_clump_0014,1,1,0,2
LS21323_DJI_0842_clump_0015,0,5,0,5
LS21323_DJI_0842_clump_0016,1,1,0,2
LS21323_DJI_0842_clump_0017,1,1,0,2
LS21323_DJI_0842_clump_0018,3,1,0,4
LS21323_DJI_0842_clump_0019,1,1,0,2
LS21323_DJI_0842_clump_0020,2,2,0,4
LS21323_DJI_0842_clump_0021,1,1,0,2
LS21323_DJI_0842_clump_0022,2,1,0,3
LS21323_DJI_0842_clump_0023,1,1,0,2
LS21323_DJI_0842_clump_0024,1,1,0,2
LS21323_DJI_0842_clump_0025,1,1,0,2
LS21323_DJI_0842_clump_0026,2,2,0,4
LS21323_DJI_0842_clump_0027,1,1,0,2
LS21323_DJI_0842_clump_0028,2,2,0,4
LS21323_DJI_0842_clump_0029,1,1,0,2
LS21323_DJI_0842_clump_0030,1,1,0,2
LS21323_DJI_0842_clump_0031,1,1,0,2
LS21323_DJI_0842_clump_0032,1,2,0,3
LS21323_DJI_0842_clump_0033,1,1,0,2
LS21323_DJI_0842_clump_0034,2,2,0,4
LS21323_DJI_0842_clump_0035,1,1,0,2
LS21323_DJI_0842_clump_0036,2,2,0,4
LS21323_DJI_0842_clump_0037,0,3,0,3
LS21323_DJI_0842_clump_0038,1,1,0,2
LS21323_DJI_0842_clump_0039,1,2,0,3
LS21323_DJI_0842_clump_0040,0,1,0,1
LS21323_DJI_0842_clump_0041,0,5,0,5
LS21323_DJI_0843_clump_0001,1,6,0,7
LS21323_DJI_0843_clump_0002,1,1,0,2
LS21323_DJI_0843_clump_0003,2,1,0,3
LS21323_DJI_0843_clump_0004,2,2,0,4
LS21323_DJI_0843_clump_0005,2,2,0,4
LS21323_DJI_0843_clump_0006,1,1,0,2
LS21323_DJI_0843_clump_0007,2,2,0,4
LS21323_DJI_0843_clump_0008,1,1,0,2
LS21323_DJI_0843_clump_0009,1,1,0,2
LS21323_DJI_0843_clump_0010,1,1,0,2
LS21323_DJI_0843_clump_0011,1,1,0,2
LS21323_DJI_0843_clump_0012,2,1,0,3
LS21323_DJI_0843_clump_0013,1,1,0,2
LS21323_DJI_0843_clump_0014,0,1,1,2
LS21323_DJI_0843_clump_0015,1,1,0,1
LS21323_DJI_0843_clump_0016,2,2,0,4
LS21323_DJI_0843_clump_0017,1,1,0,2
LS21323_DJI_0843_clump_0018,3,5,0,8
LS21323_DJI_0843_clump_0019,1,1,0,2
LS21323_DJI_0843_clump_0020,1,1,0,2
LS21323_DJI_0843_clump_0021,4,3,0,7
LS21323_DJI_0843_clump_0022,1,1,0,2
LS21323_DJI_0843_clump_0023,1,1,0,2
LS21323_DJI_0843_clump_0024,2,1,0,3
LS21323_DJI_0843_clump_0025,1,1,0,2
LS21323_DJI_0843_clump_0026,1,1,0,2
LS21323_DJI_0843_clump_0027,2,1,0,3
LS21323_DJI_0843_clump_0028,1,1,0,2
LS21323_DJI_0843_clump_0029,1,1,0,2
LS21323_DJI_0843_clump_0030,1,1,0,2
LS21323_DJI_0843_clump_0031,1,2,0,3
LS21323_DJI_0843_clump_0032,1,1,0,2
LS21323_DJI_0843_clump_0033,2,2,0,4
LS21323_DJI_0843_clump_0034,1,1,0,2
LS21323_DJI_0843_clump_0035,1,1,0,2
LS21323_DJI_0843_clump_0036,2,2,0,4
LS21323_DJI_0843_clump_0037,1,1,0,2
LS21323_DJI_0843_clump_0038,1,2,0,3
LS21323_DJI_0843_clump_0039,1,1,0,2
LS21323_DJI_0843_clump_0040,1,2,0,3
LS21323_DJI_0843_clump_0041,1,1,0,2
LS21323_DJI_0843_clump_0042,2,1,0,3
LS21323_DJI_0843_clump_0043,0,3,0,3
LS21323_DJI_0843_clump_0044,1,1,0,2
LS21323_DJI_0843_clump_0045,1,1,0,2
LS21323_DJI_0843_clump_0046,1,1,0,2
LS21323_DJI_0843_clump_0047,1,1,0,2
LS21323_DJI_0843_clump_0048,1,0,0,1
LS21323_DJI_0843_clump_0049,1,1,0,2
LS21323_DJI_0843_clump_0050,0,5,0,5
LS21323_DJI_0843_clump_0051,3,0,0,3
LS21323_DJI_0843_clump_0052,2,2,0,4
LS21323_DJI_0843_clump_0053,1,1,0,2
LS21323_DJI_0843_clump_0054,0,5,0,5
LS21323_DJI_0844_clump_0001,1,1,0,2
LS21323_DJI_0844_clump_0002,1,6,0,7
LS21323_DJI_0844_clump_0003,2,2,0,4
LS21323_DJI_0844_clump_0004,1,1,0,2
LS21323_DJI_0844_clump_0005,1,1,0,2
LS21323_DJI_0844_clump_0006,1,1,0,2
LS21323_DJI_0844_clump_0007,1,1,0,2
LS21323_DJI_0844_clump_0008,2,2,0,4
LS21323_DJI_0844_clump_0009,4,2,0,6
LS21323_DJI_0844_clump_0010,1,1,0,2
LS21323_DJI_0844_clump_0011,4,4,0,8
LS21323_DJI_0844_clump_0012,1,1,0,2
LS21323_DJI_0844_clump_0013,1,1,0,2
LS21323_DJI_0844_clump_0014,2,1,0,3
LS21323_DJI_0844_clump_0015,1,1,0,2
LS21323_DJI_0844_clump_0016,1,1,0,2
LS21323_DJI_0844_clump_0017,0,1,0,1
LS21323_DJI_0844_clump_0018,1,1,0,2
LS21323_DJI_0844_clump_0019,1,1,0,2
LS21323_DJI_0844_clump_0020,1,1,0,2
LS21323_DJI_0844_clump_0021,1,1,0,2
LS21323_DJI_0844_clump_0022,1,0,0,1
LS21323_DJI_0844_clump_0023,1,1,0,2
LS21323_DJI_0844_clump_0024,4,3,0,7
LS21323_DJI_0845_clump_0001,,,,
LS21323_DJI_0845_clump_0002,,,,
LS21323_DJI_0845_clump_0003,,,,
LS21323_DJI_0845_clump_0004,,,,
LS21323_DJI_0845_clump_0005,,,,
LS21323_DJI_0845_clump_0006,,,,
LS21323_DJI_0845_clump_0007,,,,
LS21323_DJI_0845_clump_0008,,,,
LS21323_DJI_0845_clump_0009,,,,
LS21323_DJI_0845_clump_0010,,,,
LS21323_DJI_0845_clump_0011,,,,
LS21323_DJI_0845_clump_0012,,,,
LS21323_DJI_0845_clump_0013,,,,
LS21323_DJI_0845_clump_0014,,,,
LS21323_DJI_0846_clump_0001,,,,
LS21323_DJI_0846_clump_0002,,,,
LS21323_DJI_0846_clump_0003,,,,
LS21323_DJI_0846_clump_0004,,,,
LS21323_DJI_0846_clump_0005,,,,
LS21323_DJI_0846_clump_0006,,,,
LS21323_DJI_0846_clump_0007,,,,
LS21323_DJI_0846_clump_0008,,,,
LS21323_DJI_0846_clump_0009,,,,
LS21323_DJI_0846_clump_0010,,,,
LS21323_DJI_0846_clump_0011,,,,
LS21323_DJI_0846_clump_0012,,,,
LS21323_DJI_0846_clump_0013,,,,
LS21323_DJI_0846_clump_0014,,,,
LS21323_DJI_0846_clump_0015,,,,
LS21323_DJI_0846_clump_0016,,,,
LS21323_DJI_0846_clump_0017,,,,
LS21323_DJI_0846_clump_0018,,,,
LS21323_DJI_0846_clump_0019,,,,
LS21323_DJI_0846_clump_0020,,,,
LS21323_DJI_0846_clump_0021,,,,
LS21323_DJI_0846_clump_0022,,,,
LS21323_DJI_0846_clump_0023,,,,
LS21323_DJI_0846_clump_0024,,,,
LS21323_DJI_0846_clump_0025,,,,
LS21323_DJI_0846_clump_0026,,,,
LS21323_DJI_0846_clump_0027,,,,
LS21323_DJI_0847_clump_0001,,,,
LS21323_DJI_0847_clump_0002,,,,
LS21323_DJI_0847_clump_0003,,,,
LS21323_DJI_0847_clump_0004,,,,
LS21323_DJI_0847_clump_0005,,,,
LS21323_DJI_0847_clump_0006,,,,
LS21323_DJI_0847_clump_0007,,,,
LS21323_DJI_0847_clump_0008,,,,
LS21323_DJI_0847_clump_0009,,,,
LS21323_DJI_0847_clump_0010,,,,
LS21323_DJI_0847_clump_0011,,,,
LS21323_DJI_0847_clump_0012,,,,
LS21323_DJI_0847_clump_0013,,,,
LS21323_DJI_0847_clump_0014,,,,
LS21323_DJI_0847_clump_0015,,,,
LS21323_DJI_0847_clump_0016,,,,
LS21323_DJI_0847_clump_0017,,,,
LS21323_DJI_0847_clump_0018,,,,
LS21323_DJI_0847_clump_0019,,,,
LS21323_DJI_0847_clump_0020,,,,
LS21323_DJI_0847_clump_0021,,,,
LS21323_DJI_0847_clump_0022,,,,
LS21323_DJI_0847_clump_0023,,,,
LS21323_DJI_0847_clump_0024,,,,
LS21323_DJI_0847_clump_0025,,,,
LS21323_DJI_0847_clump_0026,,,,
LS21323_DJI_0847_clump_0027,,,,
LS21323_DJI_0847_clump_0028,,,,
LS21323_DJI_0847_clump_0029,,,,
LS21323_DJI_0847_clump_0030,,,,
LS21323_DJI_0847_clump_0031,,,,
LS21323_DJI_0847_clump_0032,,,,
LS21323_DJI_0847_clump_0033,,,,
LS21323_DJI_0847_clump_0034,,,,
LS21323_DJI_0847_clump_0035,,,,
LS21323_DJI_0847_clump_0036,,,,
LS21323_DJI_0847_clump_0037,,,,
LS21323_DJI_0847_clump_0038,,,,
LS21323_DJI_0847_clump_0039,,,,
LS21323_DJI_0847_clump_0040,,,,
LS21323_DJI_0847_clump_0041,,,,
LS21323_DJI_0847_clump_0042,,,,
LS21323_DJI_0847_clump_0043,,,,
LS21323_DJI_0848_clump_0001,,,,
LS21323_DJI_0848_clump_0002,,,,
LS21323_DJI_0848_clump_0003,,,,
LS21323_DJI_0848_clump_0004,,,,
LS21323_DJI_0848_clump_0005,,,,
LS21323_DJI_0848_clump_0006,,,,
LS21323_DJI_0848_clump_0007,,,,
LS21323_DJI_0848_clump_0008,,,,
LS21323_DJI_0848_clump_0009,,,,
LS21323_DJI_0848_clump_0010,,,,
LS21323_DJI_0848_clump_0011,,,,
LS21323_DJI_0848_clump_0012,,,,
LS21323_DJI_0848_clump_0013,,,,
LS21323_DJI_0848_clump_0014,,,,
LS21323_DJI_0848_clump_0015,,,,
LS21323_DJI_0848_clump_0016,,,,
LS21323_DJI_0848_clump_0017,,,,
LS21323_DJI_0848_clump_0018,,,,
LS21323_DJI_0848_clump_0019,,,,
LS21323_DJI_0848_clump_0020,,,,
LS21323_DJI_0848_clump_0021,,,,
LS21323_DJI_0848_clump_0022,,,,
LS21323_DJI_0848_clump_0023,,,,
LS21323_DJI_0848_clump_0024,,,,
LS21323_DJI_0848_clump_0025,,,,
LS21323_DJI_0848_clump_0026,,,,
LS21323_DJI_0848_clump_0027,,,,
LS21323_DJI_0848_clump_0028,,,,
LS21323_DJI_0848_clump_0029,,,,
LS21323_DJI_0848_clump_0030,,,,
LS21323_DJI_0848_clump_0031,,,,
LS21323_DJI_0848_clump_0032,,,,
LS21323_DJI_0848_clump_0033,,,,
LS21323_DJI_0848_clump_0034,,,,
LS21323_DJI_0848_clump_0035,,,,
LS21323_DJI_0848_clump_0036,,,,
LS21323_DJI_0848_clump_0037,,,,
LS21323_DJI_0848_clump_0038,,,,
LS21323_DJI_0848_clump_0039,,,,
LS21323_DJI_0848_clump_0040,,,,
LS21323_DJI_0849_clump_0001,,,,
LS21323_DJI_0849_clump_0002,,,,
LS21323_DJI_0849_clump_0003,,,,
LS21323_DJI_0849_clump_0004,,,,
LS21323_DJI_0849_clump_0005,,,,
LS21323_DJI_0849_clump_0006,,,,
LS21323_DJI_0849_clump_0007,,,,
LS21323_DJI_0849_clump_0008,,,,
LS21323_DJI_0849_clump_0009,,,,
LS21323_DJI_0849_clump_0010,,,,
LS21323_DJI_0849_clump_0011,,,,
LS21323_DJI_0849_clump_0012,,,,
LS21323_DJI_0849_clump_0013,,,,
LS21323_DJI_0849_clump_0014,,,,
LS21323_DJI_0849_clump_0015,,,,
LS21323_DJI_0849_clump_0016,,,,
LS21323_DJI_0849_clump_0017,,,,
LS21323_DJI_0849_clump_0018,,,,
LS21323_DJI_0849_clump_0019,,,,
LS21323_DJI_0849_clump_0020,,,,
LS21323_DJI_0849_clump_0021,,,,
LS21323_DJI_0849_clump_0022,,,,
LS21323_DJI_0849_clump_0023,,,,
LS21323_DJI_0849_clump_0024,,,,
LS21323_DJI_0849_clump_0025,,,,
LS21323_DJI_0849_clump_0026,,,,
LS21323_DJI_0849_clump_0027,,,,
LS21323_DJI_0849_clump_0028,,,,
LS21323_DJI_0849_clump_0029,,,,
LS21323_DJI_0849_clump_0030,,,,
LS21323_DJI_0849_clump_0031,,,,
LS21323_DJI_0849_clump_0032,,,,
LS21323_DJI_0849_clump_0033,,,,
LS21323_DJI_0849_clump_0034,,,,
LS21323_DJI_0849_clump_0035,,,,
LS21323_DJI_0849_clump_0036,,,,
LS21323_DJI_0849_clump_0037,,,,
LS21323_DJI_0849_clump_0038,,,,
LS21323_DJI_0849_clump_0039,,,,
LS21323_DJI_0850_clump_0001,2,1,0,3
LS21323_DJI_0850_clump_0002,1,1,0,2
LS21323_DJI_0850_clump_0003,2,1,0,3
LS21323_DJI_0850_clump_0004,2,1,0,3
LS21323_DJI_0850_clump_0005,1,1,0,2
LS21323_DJI_0850_clump_0006,0,3,0,3
LS21323_DJI_0850_clump_0007,0,6,0,6
LS21323_DJI_0850_clump_0008,2,1,0,3
LS21323_DJI_0850_clump_0009,1,1,0,2
LS21323_DJI_0850_clump_0010,1,1,0,2
LS21323_DJI_0850_clump_0011,2,2,0,4
LS21323_DJI_0850_clump_0012,1,1,0,2
LS21323_DJI_0850_clump_0013,1,1,0,2
LS21323_DJI_0850_clump_0014,1,0,0,1
LS21323_DJI_0850_clump_0015,1,2,0,3
LS21323_DJI_0850_clump_0016,1,1,0,2
LS21323_DJI_0850_clump_0017,1,1,0,2
LS21323_DJI_0850_clump_0018,1,1,0,2
LS21323_DJI_0850_clump_0019,2,2,0,4
LS21323_DJI_0850_clump_0020,1,1,0,2
LS21323_DJI_0850_clump_0021,1,1,0,2
LS21323_DJI_0850_clump_0022,1,1,0,2
LS21323_DJI_0850_clump_0023,1,1,0,2
LS21323_DJI_0850_clump_0024,0,5,0,5
LS21323_DJI_0850_clump_0025,1,0,0,1
LS21323_DJI_0850_clump_0026,2,2,0,4
LS21323_DJI_0850_clump_0027,1,1,0,2
LS21323_DJI_0850_clump_0028,0,3,0,3
LS21323_DJI_0850_clump_0029,1,1,0,2
LS21323_DJI_0850_clump_0030,1,0,0,1
LS21323_DJI_0851_clump_0001,2,1,0,3
LS21323_DJI_0851_clump_0002,0,3,0,3
LS21323_DJI_0851_clump_0003,1,1,0,2
LS21323_DJI_0851_clump_0004,0,5,0,5
LS21323_DJI_0851_clump_0005,2,1,0,3
LS21323_DJI_0851_clump_0006,1,1,0,2
LS21323_DJI_0851_clump_0007,1,1,0,2
LS21323_DJI_0851_clump_0008,1,1,0,2
LS21323_DJI_0851_clump_0009,2,3,0,5
LS21323_DJI_0851_clump_0010,,,,
LS21323_DJI_0851_clump_0011,,,,
LS21323_DJI_0851_clump_0012,,,,
LS21323_DJI_0851_clump_0013,,,,
LS21323_DJI_0851_clump_0014,,,,
LS21323_DJI_0851_clump_0015,,,,
LS21323_DJI_0851_clump_0016,,,,
LS21323_DJI_0851_clump_0017,,,,
LS21323_DJI_0851_clump_0018,,,,
LS21323_DJI_0851_clump_0019,,,,
LS21323_DJI_0851_clump_0020,,,,
LS21323_DJI_0852_clump_0001,,,,
LS21323_DJI_0852_clump_0002,,,,
LS21323_DJI_0852_clump_0003,,,,
LS21323_DJI_0852_clump_0004,,,,
LS21323_DJI_0852_clump_0005,,,,
LS21323_DJI_0852_clump_0006,,,,
LS21323_DJI_0852_clump_0007,,,,
LS21323_DJI_0852_clump_0008,,,,
LS21323_DJI_0852_clump_0009,,,,
LS21323_DJI_0852_clump_0010,,,,
LS21323_DJI_0852_clump_0011,,,,
LS21323_DJI_0852_clump_0012,,,,
LS21323_DJI_0852_clump_0013,,,,
LS21323_DJI_0852_clump_0014,,,,
LS21323_DJI_0852_clump_0015,,,,
LS21323_DJI_0852_clump_0016,,,,
LS21323_DJI_0852_clump_0017,,,,
LS21323_DJI_0852_clump_0018,,,,
LS21323_DJI_0852_clump_0019,,,,
LS21323_DJI_0852_clump_0020,,,,
LS21323_DJI_0852_clump_0021,,,,
LS21323_DJI_0852_clump_0022,,,,
LS21323_DJI_0852_clump_0023,,,,
LS21323_DJI_0852_clump_0024,,,,
LS21323_DJI_0852_clump_0025,,,,
LS21323_DJI_0852_clump_0026,,,,
LS21323_DJI_0852_clump_0027,,,,
LS21323_DJI_0852_clump_0028,,,,
LS21323_DJI_0852_clump_0029,,,,
LS21323_DJI_0852_clump_0030,,,,
LS21323_DJI_0852_clump_0031,,,,
LS21323_DJI_0852_clump_0032,,,,
LS21323_DJI_0852_clump_0033,,,,
LS21323_DJI_0852_clump_0034,,,,
LS21323_DJI_0852_clump_0035,,,,
LS21323_DJI_0852_clump_0036,,,,
LS21323_DJI_0852_clump_0037,,,,
LS21323_DJI_0852_clump_0038,,,,
LS21323_DJI_0852_clump_0039,,,,
LS21323_DJI_0852_clump_0040,,,,
LS21323_DJI_0852_clump_0041,,,,
LS21323_DJI_0852_clump_0042,,,,
LS21323_DJI_0852_clump_0043,,,,
LS21323_DJI_0852_clump_0044,,,,
LS21323_DJI_0853_clump_0001,,,,
LS21323_DJI_0853_clump_0002,,,,
LS21323_DJI_0853_clump_0003,,,,
LS21323_DJI_0853_clump_0004,,,,
LS21323_DJI_0853_clump_0005,,,,
LS21323_DJI_0853_clump_0006,,,,
LS21323_DJI_0853_clump_0007,,,,
LS21323_DJI_0853_clump_0008,,,,
LS21323_DJI_0853_clump_0009,,,,
LS21323_DJI_0853_clump_0010,,,,
LS21323_DJI_0853_clump_0011,,,,
LS21323_DJI_0853_clump_0012,,,,
LS21323_DJI_0853_clump_0013,,,,
LS21323_DJI_0853_clump_0014,,,,
LS21323_DJI_0853_clump_0015,,,,
LS21323_DJI_0853_clump_0016,,,,
LS21323_DJI_0853_clump_0017,,,,
LS21323_DJI_0853_clump_0018,,,,
LS21323_DJI_0853_clump_0019,,,,
LS21323_DJI_0853_clump_0020,,,,
LS21323_DJI_0853_clump_0021,,,,
LS21323_DJI_0853_clump_0022,,,,
LS21323_DJI_0853_clump_0023,,,,
LS21323_DJI_0853_clump_0024,,,,
LS21323_DJI_0853_clump_0025,,,,
LS21323_DJI_0853_clump_0026,,,,
LS21323_DJI_0853_clump_0027,,,,
LS21323_DJI_0853_clump_0028,,,,
LS21323_DJI_0853_clump_0029,,,,
LS21323_DJI_0853_clump_0030,,,,
LS21323_DJI_0853_clump_0031,,,,
LS21323_DJI_0853_clump_0032,,,,
LS21323_DJI_0853_clump_0033,,,,
LS21323_DJI_0853_clump_0034,,,,
LS21323_DJI_0853_clump_0035,,,,
LS21323_DJI_0853_clump_0036,,,,
LS21323_DJI_0853_clump_0037,,,,
LS21323_DJI_0853_clump_0038,,,,
LS21323_DJI_0853_clump_0039,,,,
LS21323_DJI_0853_clump_0040,,,,
LS21323_DJI_0853_clump_0041,,,,
LS21323_DJI_0853_clump_0042,,,,
LS21323_DJI_0853_clump_0043,,,,
LS21323_DJI_0853_clump_0044,,,,
LS21323_DJI_0853_clump_0045,,,,
LS21323_DJI_0853_clump_0046,,,,
LS21323_DJI_0853_clump_0047,,,,
LS21323_DJI_0853_clump_0048,,,,
LS21323_DJI_0853_clump_0049,,,,
LS21323_DJI_0853_clump_0050,,,,
LS21323_DJI_0853_clump_0051,,,,
LS21323_DJI_0853_clump_0052,,,,
LS21323_DJI_0854_clump_0001,,,,
LS21323_DJI_0854_clump_0002,,,,
LS21323_DJI_0854_clump_0003,,,,
LS21323_DJI_0854_clump_0004,,,,
LS21323_DJI_0854_clump_0005,,,,
LS21323_DJI_0854_clump_0006,,,,
LS21323_DJI_0854_clump_0007,,,,
LS21323_DJI_0854_clump_0008,,,,
LS21323_DJI_0854_clump_0009,,,,
LS21323_DJI_0854_clump_0010,,,,
LS21323_DJI_0854_clump_0011,,,,
LS21323_DJI_0854_clump_0012,,,,
LS21323_DJI_0854_clump_0013,,,,
LS21323_DJI_0854_clump_0014,,,,
LS21323_DJI_0854_clump_0015,,,,
LS21323_DJI_0854_clump_0016,,,,
LS21323_DJI_0854_clump_0017,,,,
LS21323_DJI_0854_clump_0018,,,,
LS21323_DJI_0854_clump_0019,,,,
LS21323_DJI_0854_clump_0020,,,,
LS21323_DJI_0854_clump_0021,,,,
LS21323_DJI_0854_clump_0022,,,,
LS21323_DJI_0854_clump_0023,,,,
LS21323_DJI_0854_clump_0024,,,,
LS21323_DJI_0854_clump_0025,,,,
LS21323_DJI_0854_clump_0026,,,,
LS21323_DJI_0854_clump_0027,,,,
LS21323_DJI_0854_clump_0028,,,,
LS21323_DJI_0854_clump_0029,,,,
LS21323_DJI_0854_clump_0030,,,,
LS21323_DJI_0854_clump_0031,,,,
LS21323_DJI_0854_clump_0032,,,,
LS21323_DJI_0854_clump_0033,,,,
LS21323_DJI_0854_clump_0034,,,,
LS21323_DJI_0854_clump_0035,,,,
LS21323_DJI_0854_clump_0036,,,,
LS21323_DJI_0854_clump_0037,,,,
LS21323_DJI_0854_clump_0038,,,,
LS21323_DJI_0854_clump_0039,,,,
LS21323_DJI_0854_clump_0040,,,,
LS21323_DJI_0854_clump_0041,,,,
LS21323_DJI_0854_clump_0042,,,,
LS21323_DJI_0854_clump_0043,,,,
LS21323_DJI_0854_clump_0044,,,,
LS21323_DJI_0854_clump_0045,,,,
LS21323_DJI_0854_clump_0046,,,,
LS21323_DJI_0854_clump_0047,,,,
LS21323_DJI_0855_clump_0001,,,,
LS21323_DJI_0855_clump_0002,,,,
LS21323_DJI_0855_clump_0003,,,,
LS21323_DJI_0855_clump_0004,,,,
LS21323_DJI_0855_clump_0005,,,,
LS21323_DJI_0855_clump_0006,,,,
LS21323_DJI_0855_clump_0007,,,,
LS21323_DJI_0855_clump_0008,,,,
LS21323_DJI_0855_clump_0009,,,,
LS21323_DJI_0855_clump_0010,,,,
LS21323_DJI_0855_clump_0011,,,,
LS21323_DJI_0855_clump_0012,,,,
LS21323_DJI_0855_clump_0013,,,,
LS21323_DJI_0855_clump_0014,,,,
LS21323_DJI_0855_clump_0015,,,,
LS21323_DJI_0855_clump_0016,,,,
LS21323_DJI_0855_clump_0017,,,,
LS21323_DJI_0855_clump_0018,,,,
LS21323_DJI_0855_clump_0019,,,,
LS21323_DJI_0855_clump_0020,,,,
LS21323_DJI_0855_clump_0021,,,,
LS21323_DJI_0855_clump_0022,,,,
LS21323_DJI_0855_clump_0023,,,,
LS21323_DJI_0855_clump_0024,,,,
LS21323_DJI_0855_clump_0025,,,,
LS21323_DJI_0855_clump_0026,,,,
LS21323_DJI_0855_clump_0027,,,,
LS21323_DJI_0855_clump_0028,,,,
LS21323_DJI_0855_clump_0029,,,,
LS21323_DJI_0855_clump_0030,,,,
LS21323_DJI_0855_clump_0031,,,,
LS21323_DJI_0855_clump_0032,,,,
LS21323_DJI_0855_clump_0033,,,,
LS21323_DJI_0855_clump_0034,,,,
LS21323_DJI_0855_clump_0035,,,,
LS21323_DJI_0855_clump_0036,,,,
LS21323_DJI_0855_clump_0037,,,,
LS21323_DJI_0855_clump_0038,,,,
LS21323_DJI_0855_clump_0039,,,,
LS21323_DJI_0855_clump_0040,,,,
LS21323_DJI_0855_clump_0041,,,,
LS21323_DJI_0855_clump_0042,,,,
LS21323_DJI_0855_clump_0043,,,,
LS21323_DJI_0855_clump_0044,,,,
LS21323_DJI_0855_clump_0045,,,,
LS21323_DJI_0855_clump_0046,,,,
LS21323_DJI_0855_clump_0047,,,,
LS21323_DJI_0855_clump_0048,,,,
LS21323_DJI_0855_clump_0049,,,,
LS21323_DJI_0855_clump_0050,,,,
LS21323_DJI_0855_clump_0051,,,,
LS21323_DJI_0855_clump_0052,,,,
LS21323_DJI_0855_clump_0053,,,,
LS21323_DJI_0855_clump_0054,,,,
LS21323_DJI_0855_clump_0055,,,,
LS21323_DJI_0855_clump_0056,,,,
LS21323_DJI_0855_clump_0057,,,,
LS21323_DJI_0855_clump_0058,,,,
LS21323_DJI_0855_clump_0059,,,,
LS21323_DJI_0855_clump_0060,,,,
LS21323_DJI_0856_clump_0001,,,,
LS21323_DJI_0856_clump_0002,,,,
LS21323_DJI_0856_clump_0003,,,,
LS21323_DJI_0856_clump_0004,,,,
LS21323_DJI_0856_clump_0005,,,,
LS21323_DJI_0856_clump_0006,,,,
LS21323_DJI_0856_clump_0007,,,,
LS21323_DJI_0856_clump_0008,,,,
LS21323_DJI_0856_clump_0009,,,,
LS21323_DJI_0856_clump_0010,,,,
LS21323_DJI_0856_clump_0011,,,,
LS21323_DJI_0856_clump_0012,,,,
LS21323_DJI_0856_clump_0013,,,,
LS21323_DJI_0856_clump_0014,,,,
LS21323_DJI_0856_clump_0015,,,,
LS21323_DJI_0856_clump_0016,,,,
LS21323_DJI_0856_clump_0017,,,,
LS21323_DJI_0856_clump_0018,,,,
LS21323_DJI_0856_clump_0019,,,,
LS21323_DJI_0856_clump_0020,,,,
LS21323_DJI_0856_clump_0021,,,,
LS21323_DJI_0856_clump_0022,,,,
LS21323_DJI_0856_clump_0023,,,,
LS21323_DJI_0856_clump_0024,,,,
LS21323_DJI_0856_clump_0025,,,,
LS21323_DJI_0856_clump_0026,,,,
LS21323_DJI_0856_clump_0027,,,,
LS21323_DJI_0856_clump_0028,,,,
LS21323_DJI_0856_clump_0029,,,,
LS21323_DJI_0856_clump_0030,,,,
LS21323_DJI_0856_clump_0031,,,,
LS21323_DJI_0856_clump_0032,,,,
LS21323_DJI_0856_clump_0033,,,,
LS21323_DJI_0856_clump_0034,,,,
LS21323_DJI_0856_clump_0035,,,,
LS21323_DJI_0857_clump_0001,,,,
LS21323_DJI_0857_clump_0002,,,,
LS21323_DJI_0857_clump_0003,,,,
LS21323_DJI_0857_clump_0004,,,,
LS21323_DJI_0857_clump_0005,,,,
LS21323_DJI_0857_clump_0006,,,,
LS21323_DJI_0857_clump_0007,,,,
LS21323_DJI_0857_clump_0008,,,,
LS21323_DJI_0857_clump_0009,,,,
LS21323_DJI_0857_clump_0010,,,,
LS21323_DJI_0857_clump_0011,,,,
LS21323_DJI_0857_clump_0012,,,,
LS21323_DJI_0857_clump_0013,,,,
LS21323_DJI_0857_clump_0014,,,,
LS21323_DJI_0857_clump_0015,,,,
LS21323_DJI_0857_clump_0016,,,,
LS21323_DJI_0857_clump_0017,,,,
